timestamp,x-axis (m/s^2),y-axis (m/s^2),z-axis (m/s^2),R00,R01,R02,R10,R11,R12,R20,R21,R22
20:42:56:903,0.4918041126629331,-1.0380596639276247,-9.803502058956466,0.9999999937823297,5.5781588139937536e-05,0.00011500338730420785,-5.578438292132907e-05,0.9999999967213211,4.1116027079743e-05,-0.00011500354269599604,-4.1118960183014094e-05,0.9999999930401056
20:42:56:936,0.5003052288850669,-1.0557963036080593,-9.78287987563905,0.9999999961863556,1.723588249671111e-05,3.933168757511595e-05,-1.7241744909951403e-05,0.9999999966088922,5.3890671947474185e-05,-3.932990966960885e-05,-5.389165302316279e-05,0.9999999941350483
20:42:56:969,0.5087273624372798,-1.0405254536036264,-9.785551129024464,1.000000000127064,-6.130948105729293e-06,-3.110880175473161e-06,6.132299869569443e-06,1.0000000004261516,3.87830246205244e-05,3.1102073723222524e-06,-3.878315560801281e-05,1.0000000003679486
20:42:57:002,0.5003058915654878,-1.0294694479157063,-9.82192725596827,0.9999999984784167,-3.2417031457346665e-06,-8.414582793546594e-06,3.2349972309003218e-06,0.9999999937964993,8.580359709076264e-06,8.417581901309336e-06,-8.581537815515199e-06,0.9999999933877564
20:42:57:036,0.4966622446553064,-1.0353090909413187,-9.861475333149649,0.9999999931949014,5.123029729483755e-06,-2.5750069709671137e-05,-5.13100367335822e-06,0.9999999843520899,-0.00014967355634313244,2.5754858395564286e-05,0.00014966940779370503,0.9999999811382912
20:42:57:069,0.49419916148739634,-1.0540264889394881,-9.873762686869396,0.9999999852615419,6.0146224682494205e-05,0.00016669047694856223,-6.011195841422126e-05,0.9999999818335035,-0.00017194431191406147,-0.00016670111642917498,0.00017193651935394126,0.9999999694863092
20:42:57:102,0.492661869231509,-1.0689550120979925,-9.822349621078331,0.9999999650152054,3.458537327455441e-05,0.000259077192412728,-3.453084098885504e-05,0.9999999761618166,-0.00022837965457998298,-0.0002590874126158318,0.0002283696328029196,0.9999999434419137
20:42:57:136,0.47763919618473266,-1.0626636370973033,-9.719719112292228,0.9999999649200301,2.0504370837847892e-05,0.0002526094452712796,-2.0487118550240404e-05,0.9999999919357125,-3.1666956258349447e-05,-0.0002526062068047358,3.166414490926759e-05,0.9999999585688241
20:42:57:169,0.5149327930886641,-1.0578980620910217,-9.6997400391747,0.9999999922468238,3.955039058339051e-05,2.5405304313670988e-05,-3.955540383877452e-05,0.9999999750905684,0.00022970022951621867,-2.53981073036726e-05,-0.0002297053269027487,0.9999999693701841
20:42:57:202,0.5299598641705712,-1.0520833666918301,-9.769560263951858,0.9999999894573938,1.1146176809262611e-05,-0.0001590506284546561,-1.1110135528687711e-05,0.9999999723807504,0.00023525620601695345,0.00015905131834586484,-0.0002352539534986068,0.9999999623565927
